Function_Number,Best_Combination
1,prop | one | weak
2,prop | ur2 | weak
3,prop | empty | weak
4,prop | empty | weak
5,prop | empty | weak
6,prop | empty | weak
7,prop | empty | weak
8,prop | empty | weak
9,prop | empty | weak
10,prop | empty | weak
11,prop | empty | weak
12,prop | empty | weak
13,prop | empty | average
14,prop | empty | average
15,rank | ur2 | weak
16,rank | one | weak
17,tour3 | empty | average
18,rank | one | weak
19,prop | ur2 | weak
20,rank | empty | weak
21,rank | ur2 | weak
22,rank | ur2 | weak
23,prop | ur7 | weak
24,rank | ur7 | weak
25,rank | two | weak
