Function,Dimensions,old_runs,old_found,old_reliability,old_mean_generation_found,old_median_generation_found,new_runs,new_found,new_reliability,new_mean_generation_found,new_median_generation_found,delta_reliability,delta_mean_generation_found,delta_median_generation_found
Ackley,30,100,27,0.27,242.1851851851852,243.0,100,0,0.0,,,-0.27,,
ExpandedScaffers_F6,2,100,81,0.81,49.111111111111114,48.0,100,69,0.69,45.52173913043478,42.0,-0.1200000000000001,-3.589371980676333,-6.0
Griewank,30,100,69,0.69,364.2173913043478,363.0,100,66,0.66,401.22727272727275,400.0,-0.029999999999999916,37.009881422924934,37.0
HighConditionedElliptic,30,100,16,0.16,347.375,348.5,100,1,0.01,354.0,354.0,-0.15,6.625,5.5
HybridCompositionFunction1,10,100,79,0.79,291.65822784810126,274.0,100,65,0.65,219.96923076923076,157.0,-0.14,-71.6889970788705,-117.0
HybridCompositionFunction3,2,100,98,0.98,71.91836734693878,65.5,100,69,0.69,47.289855072463766,42.0,-0.29000000000000004,-24.628512274475014,-23.5
HybridCompositionFunction3H,2,100,26,0.26,261.0,307.0,100,21,0.21,118.52380952380952,114.0,-0.05000000000000002,-142.47619047619048,-193.0
HybridCompositionFunction4,2,100,3,0.03,274.3333333333333,208.0,100,1,0.01,90.0,90.0,-0.019999999999999997,-184.33333333333331,-118.0
HybridCompositionFunction4withoutbounds,2,100,0,0.0,,,100,0,0.0,,,0.0,,
NonContinuousHybridCompositionFunction3,2,100,90,0.9,97.97777777777777,90.5,100,69,0.69,59.31884057971015,43.0,-0.21000000000000008,-38.658937198067626,-47.5
Rastrigin,30,100,48,0.48,669.7708333333334,692.5,100,39,0.39,662.8974358974359,686.0,-0.08999999999999997,-6.873397435897459,-6.5
Rosenbrock,2,100,82,0.82,44.5609756097561,42.5,100,61,0.61,39.40983606557377,32.0,-0.20999999999999996,-5.151139544182328,-10.5
RotatedHybridCompositionFunction,2,100,54,0.54,124.85185185185185,121.0,100,68,0.68,51.911764705882355,39.0,0.14,-72.9400871459695,-82.0
RotatedVersionHybridCompositionFunction1,2,100,97,0.97,43.83505154639175,37.0,100,95,0.95,33.810526315789474,28.0,-0.020000000000000018,-10.02452523060228,-9.0
RotatedVersionHybridCompositionFunction1Noise,2,100,91,0.91,49.46153846153846,38.0,100,89,0.89,36.662921348314605,30.0,-0.020000000000000018,-12.798617113223855,-8.0
ShiftedExpandedGriewankRosenbrock,2,100,73,0.73,47.863013698630134,46.0,100,79,0.79,34.050632911392405,27.0,0.06000000000000005,-13.812380787237728,-19.0
ShiftedRastrigin,10,100,96,0.96,170.11458333333334,166.5,100,75,0.75,127.76,126.0,-0.20999999999999996,-42.35458333333334,-40.5
ShiftedRosenbrock,2,100,86,0.86,131.27906976744185,128.0,100,56,0.56,103.83928571428571,92.5,-0.29999999999999993,-27.439784053156146,-35.5
ShiftedRotatedGriewank,2,100,100,1.0,102.93,83.0,100,89,0.89,69.52808988764045,69.0,-0.10999999999999999,-33.40191011235956,-14.0
ShiftedRotatedRastrigin,10,100,0,0.0,,,100,0,0.0,,,0.0,,
ShiftedSchwefe1_2,10,100,31,0.31,617.0645161290323,653.0,100,99,0.99,488.7070707070707,477.0,0.6799999999999999,-128.3574454219616,-176.0
ShiftedSchwefe1_2WithNoise,10,100,25,0.25,632.48,657.0,100,77,0.77,524.5194805194806,539.0,0.52,-107.96051948051945,-118.0
ShiftedSphere,10,100,31,0.31,119.38709677419355,121.0,100,5,0.05,121.8,123.0,-0.26,2.4129032258064456,2.0
Sphere,30,100,56,0.56,201.44642857142858,203.0,100,6,0.06,207.66666666666666,209.0,-0.5,6.220238095238074,6.0
Weierstrass,5,100,0,0.0,,,100,1,0.01,14.0,14.0,0.01,,
